iter	Passed	Remaining
0	107	214654
1	144	143977
2	180	120104
3	249	124478
4	278	111054
5	339	112788
6	354	100849
7	380	94821
8	458	101508
9	542	107995
10	573	103615
11	659	109222
12	750	114767
13	771	109418
14	859	113784
15	951	117943
16	1038	121170
17	1070	117928
18	1158	120752
19	1242	123037
20	1270	119753
21	1360	122345
22	1447	124434
23	1532	126195
24	1561	123375
25	1641	124664
26	1665	121694
27	1755	123633
28	1844	125357
29	1931	126802
30	1960	124515
31	2054	126339
32	2139	127547
33	2229	128934
34	2256	126710
35	2347	128090
36	2432	129061
37	2460	127055
38	2554	128421
39	2643	129536
40	2734	130635
41	2759	128657
42	2850	129734
43	2940	130739
44	3026	131502
45	3055	129799
46	3131	130133
47	3155	128320
48	3242	129094
49	3335	130072
50	3364	128580
51	3457	129507
52	3543	130168
53	3634	130972
54	3724	131721
55	3750	130209
56	3841	130959
57	3923	131357
58	3953	130062
59	4043	130733
60	4129	131259
61	4143	129512
62	4234	130186
63	4261	128911
64	4349	129483
65	4436	130004
66	4463	128762
67	4541	129020
68	4566	127792
69	4645	128077
70	4669	126865
71	4745	127086
72	4823	127338
73	4851	126260
74	4927	126480
75	4953	125389
76	5028	125578
77	5052	124504
78	5130	124754
79	5154	123707
80	5231	123949
81	5256	122943
82	5332	123168
83	5357	122203
84	5434	122437
85	5461	121548
86	5538	121790
87	5562	120868
88	5639	121080
89	5714	121283
90	5742	120462
91	5817	120652
92	5844	119842
93	5920	120045
94	5947	119255
95	6024	119479
96	6050	118710
97	6126	118899
98	6150	118100
99	6229	118351
100	6256	117641
101	6331	117814
102	6355	117057
103	6435	117325
104	6513	117555
105	6541	116881
106	6618	117089
107	6646	116444
108	6723	116637
109	6748	115945
110	6822	116111
111	6847	115423
112	6923	115608
113	6948	114957
114	7023	115131
115	7050	114509
116	7126	114689
117	7151	114061
118	7228	114256
119	7310	114527
120	7336	113933
121	7413	114121
122	7440	113536
123	7521	113791
124	7546	113204
125	7624	113404
126	7650	112837
127	7729	113041
128	7805	113204
129	7829	112630
130	7908	112837
131	7934	112291
132	8011	112468
133	8035	111899
134	8110	112041
135	8136	111511
136	8206	111598
137	8238	111164
138	8313	111309
139	8338	110779
140	8414	110940
141	8439	110424
142	8516	110598
143	8541	110095
144	8616	110233
145	8644	109771
146	8723	109959
147	8749	109486
148	8824	109619
149	8899	109760
150	8926	109308
151	9001	109434
152	9028	108991
153	9107	109174
154	9136	108747
155	9214	108917
156	9241	108486
157	9319	108646
158	9394	108778
159	9423	108368
160	9497	108484
161	9525	108078
162	9599	108187
163	9625	107756
164	9702	107907
165	9729	107495
166	9805	107629
167	9831	107207
168	9907	107338
169	9934	106944
170	10010	107070
171	10035	106659
172	10111	106782
173	10138	106391
174	10214	106527
175	10293	106677
176	10318	106272
177	10393	106392
178	10418	105993
179	10493	106104
180	10519	105720
181	10594	105826
182	10619	105437
183	10692	105533
184	10720	105176
185	10790	105238
186	10817	104876
187	10893	104992
188	10919	104626
189	10996	104755
190	11021	104384
191	11100	104530
192	11125	104167
193	11201	104275
194	11227	103925
195	11300	104012
196	11328	103678
197	11407	103824
198	11485	103950
199	11513	103620
200	11591	103747
201	11619	103427
202	11696	103537
203	11723	103213
204	11799	103317
205	11827	102999
206	11904	103113
207	11932	102801
208	12008	102905
209	12033	102575
210	12061	102267
211	12134	102343
212	12161	102033
213	12240	102158
214	12267	101849
215	12346	101976
216	12375	101681
217	12454	101810
218	12479	101485
219	12555	101584
220	12631	101681
221	12658	101380
222	12735	101480
223	12760	101175
224	12835	101260
225	12862	100965
226	12938	101053
227	12964	100758
228	13040	100849
229	13065	100550
230	13139	100623
231	13166	100339
232	13244	100441
233	13268	100138
234	13344	100223
235	13370	99939
236	13447	100033
237	13473	99752
238	13548	99827
239	13573	99541
240	13652	99645
241	13729	99739
242	13754	99453
243	13832	99550
244	13858	99269
245	13933	99345
246	13959	99075
247	14036	99163
248	14063	98895
249	14142	99000
250	14169	98736
251	14247	98829
252	14323	98903
253	14351	98653
254	14428	98734
255	14459	98507
256	14536	98588
257	14561	98320
258	14637	98393
259	14665	98144
260	14745	98249
261	14771	97990
262	14848	98068
263	14930	98177
264	14958	97935
265	15036	98021
266	15063	97773
267	15142	97863
268	15169	97611
269	15248	97704
270	15327	97791
271	15358	97572
272	15434	97640
273	15462	97400
274	15541	97490
275	15621	97578
276	15651	97356
277	15730	97436
278	15758	97208
279	15835	97275
280	15862	97035
281	15938	97097
282	16017	97178
283	16046	96957
284	16120	97003
285	16149	96782
286	16226	96848
287	16262	96671
288	16336	96716
289	16412	96774
290	16440	96554
291	16516	96607
292	16545	96392
293	16623	96462
294	16649	96229
295	16728	96299
296	16757	96085
297	16833	96142
298	16860	95920
299	16936	95973
300	17010	96018
301	17037	95793
302	17117	95867
303	17145	95651
304	17223	95720
305	17231	95393
306	17308	95449
307	17336	95238
308	17410	95278
309	17439	95076
310	17519	95143
311	17544	94919
312	17620	94968
313	17648	94763
314	17721	94796
315	17747	94576
316	17824	94634
317	17854	94440
318	17933	94503
319	18008	94542
320	18035	94335
321	18113	94390
322	18139	94177
323	18215	94224
324	18242	94020
325	18318	94064
326	18343	93847
327	18416	93879
328	18440	93662
329	18519	93721
330	18548	93528
331	18623	93567
332	18650	93366
333	18726	93409
334	18799	93436
335	18827	93240
336	18902	93277
337	18930	93084
338	19010	93143
339	19036	92942
340	19111	92980
341	19138	92780
342	19216	92831
343	19242	92633
344	19320	92684
345	19346	92484
346	19423	92528
347	19503	92585
348	19531	92398
349	19605	92424
350	19629	92218
351	19706	92260
352	19732	92067
353	19807	92101
354	19834	91910
355	19911	91952
356	19939	91765
357	20014	91799
358	20039	91603
359	20116	91643
360	20140	91442
361	20220	91494
362	20295	91524
363	20323	91344
364	20400	91383
365	20428	91203
366	20509	91256
367	20535	91068
368	20609	91095
369	20634	90901
370	20711	90940
371	20794	91004
372	20820	90817
373	20898	90856
374	20926	90680
375	21006	90730
376	21031	90541
377	21105	90565
378	21130	90377
379	21206	90407
380	21230	90217
381	21311	90265
382	21392	90319
383	21422	90153
384	21497	90175
385	21524	90003
386	21602	90037
387	21629	89862
388	21709	89908
389	21792	89963
